;001;002;003;004;005;006;007;008;009;010; avg 
8.0-8.5
5HT2B; 19.68; 39.36; 39.36; 29.52; 39.36; 9.84; 9.84; 19.68; 39.36; 9.84;025.58400000000000000000 
5HT2C; 39.36; 39.36; 59.04; 19.68; 29.52; 49.2; 39.36; 49.2; 9.84; 19.68;035.42400000000000000000 
ADA2A; 19.68; 19.68; 9.84; 19.68; 29.52; 29.52; 0.0; 9.84; 39.36; 0.0;017.71200000000000000000 
CDK2;; 0.0;;;;;;; 9.838; 0.0;0 
HDAC01; 0.0; 0.0; 0.0; 0.0; 0.0; 9.84; 0.0; 0.0; 0.0; 9.84;01.96800000000000000000 
PXR_Agonist; 71.85684210526315; 86.66666666666667; 41.03578947368421; 34.39058823529412; 41.044210526315794; 71.85684210526315; 39.032; 29.25; 51.32631578947369; 30.76421052631579;049.72234654282765740000 
8.5-9.0
ACM1_Agonist; 29.52; 49.2; 9.84;; 39.36; 19.676;; 19.68; 19.68; 39.36;0 
ADA2B_Antagonist; 19.68; 39.36; 39.36; 49.2; 19.68; 0.0; 29.52; 29.52; 29.52; 49.2;030.50400000000000000000 
ADA2C_Antagonist; 29.52; 29.52; 29.52; 29.52; 29.52; 29.52; 9.84; 49.2; 9.84; 19.68;026.56800000000000000000 
CHK1; 9.83; 19.656; 9.836; 0.0; 0.0; 9.831999999999999; 9.828; 0.0; 0.0; 19.672;07.86539999999999990000 
9.0-9.5
5HT1F_Agonist; 29.52; 19.68; 39.36; 39.36; 49.2; 59.04; 29.52; 49.2; 9.84; 49.2;037.39200000000000000000 
DRD1_Antagonist; 68.88; 39.36; 39.36; 19.68; 19.68; 19.68; 29.52; 39.36; 49.2; 59.04;038.37600000000000000000 
DRD2_Agonist; 39.36; 78.72; 9.84; 19.68; 39.36; 29.52; 39.36; 39.36; 19.68; 39.36;035.42400000000000000000 
LSHR_Antagonist; 29.52; 49.2; 78.72; 49.2; 39.36; 68.88; 39.36; 49.2; 39.36; 9.84;045.26400000000000000000 
OPRM_Agonist; 59.04; 49.2; 39.36; 59.04; 29.52; 39.36; 49.2; 59.04; 68.88; 68.88;052.15200000000000000000 
9.8-1.0
DHFR; 10.208237986270023; 68.43989769820972; 9.704347826086956; 34.28132992327365; 53.74396135265701; 10.833333333333334; 38.8; 34.18925831202046; 29.067391304347826; 21.570048309178745;031.08378060453777240000 
MTR1A_Agonist; 59.04; 19.68; 39.36; 49.2; 49.2; 29.52; 29.52; 59.04; 59.04; 49.2;044.28000000000000000000 
MTR1B_Agonist; 9.84; 49.2; 29.52; 9.84; 68.88; 59.04; 59.04; 68.88; 59.04; 78.72;049.20000000000000000000 
P38; 58.608000000000004; 45.92941176470588; 19.532; 58.56; 39.016000000000005; 68.292; 41.08631578947368; 61.69263157894737; 34.44705882352941; 65.02666666666667;049.21900846233230190000 
V2R_Antagonist; 29.52; 59.04; 39.36; 68.88; 68.88; 49.2; 29.52; 59.04; 59.04; 68.88;053.13600000000000000000 
